Atmid,Claim Registration Date,Date of Incidence,Issue,Location,Policy No,Security,State,Type of claim,Asset Loss,Cash Loss,Claim No.,Total Loss
NRXXN993991,1/4/2013,1/1/2013,Vandalism,Sidhgora Market,DEF0001217,Guarded,Jharkhand,Attempted Theft,0,0,653758,0
NPUN1651,1/7/2013,1/5/2013,Vandalism,Sinhgad College,DEF0001217,Guarded,Maharashtra,Attempted Theft,53950,0,653753,53950
KEL9989936,1/10/2013,1/9/2013,Monkey Menance,Devanhalli,DEF0001218,Non Guarded,Karnataka,Others,58120,0,652679,58120
NPXXT99521,1/15/2013,1/13/2013,Vandalism,Phulbari site_1,DEF0001217,Guarded,Bihar,Attempted Theft,41140,0,655259,41140
DEEP999947339939,1/15/2013,1/15/2013,Vandalism,New Janta Nagar,DEF0001217,Guarded,Punjab,Attempted Theft,270830,0,655257,270830
DZEK9999991829914,1/25/2013,1/8/2013,Vandalism,BABUPATTY,DEF0001217,Guarded,Assam,Attempted Theft,117220,0,657372,117220
NVIJ995991,2/1/2013,1/31/2013,Vandalism,Vijayawada (second attempt),DEF0001217,Guarded,Andhra Pradesh,Attempted Theft,0,0,65757,0
NHYD1291,2/11/2013,2/10/2013,Vandalism,Secundrabad,DEF0001217,Guarded,Andhra Pradesh,Attempted Theft,65330,0,677872,65330
DZEP99999968399999,2/14/2013,2/9/2013,Vandalism,Masjid Chowk Bhatinda,DEF0001217,Guarded,Punjab,Attempted Theft,10410,0,672272,10410
DZEP9999996999999996,2/20/2013,2/14/2013,Vandalism,Kesari Nagri,DEF0001217,Guarded,Punjab,Attempted Theft,66080,0,672525,66080
DEEK999922599956,2/21/2013,2/14/2013,Fire Accident,SONABARIGATH,DEF0001217,Guarded,West Bengal,Fire Loss,35480,0,672759,35480
69993,2/25/2013,2/11/2013,Vandalism,Modek Colony,DEF0001217,Guarded,Punjab,Attempted Theft,67700,0,625357,67700
DZEP999947339949,2/26/2013,2/21/2013,Vandalism,Ram Garhia College,DEF0001217,Guarded,Punjab,Attempted Theft,36450,0,6755,36450
XXEO999995,3/5/2013,3/4/2013,Vandalism,Shivpuri,DEF0001217,Guarded,Madhya Pradesh,Attempted Theft,76900,0,677597,76900
XXS99992992U,3/8/2013,3/14/2013,Vandalism,SIBSAGAR,DEF0001217,Guarded,Assam,Attempted Theft,5200,0,677872,5200
NPXXT995991,3/8/2013,3/5/2013,Vandalism,Beur,DEF0001217,Guarded,Bihar,Attempted Theft,41140,0,677877,41140
KEL99699299,3/11/2013,3/11/2013,Fire Accident,Torangal,DEF0001218,Non Guarded,Karnataka,Fire Loss,59360,0,678522,59360
M31I99368993,3/13/2013,3/12/2013,Vandalism,Tajpur,DEF0001217,Guarded,Punjab,Attempted Theft,43480,0,679725,43480
DZEK9999399399233,3/20/2013,3/6/2013,Vandalism,JAPORIGARG,DEF0001217,Guarded,Assam,Attempted Theft,236060,0,625969,236060
DZEK9999999978247,3/20/2013,3/14/2013,Vandalism,"BIRKUCHI, NARANGI",635003984,Guarded,Assam,Attempted Theft,448410,0,625972,448410
IPSEN99984991,3/22/2013,3/19/2013,Vandalism,BHIKHIWIND,635003984,Guarded,Punjab,Attempted Theft,64170,0,625327,64170
DZEK9999991811992,3/29/2013,3/26/2013,Vandalism,SHILLONG,635003984,Guarded,Meghalaya,Attempted Theft,14790,0,632756,14790
XXND89923,3/29/2013,3/26/2013,Vandalism,Delhi,635003984,Guarded,New Delhi,Attempted Theft,39580,0,632766,39580
